	Domain	Phylum	Class	Order	Family	Genus	Species
ASV_4	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	
ASV_3	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_5	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae		
ASV_6	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Faecalibaculum	
ASV_8	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae		
ASV_7	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_9	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_12	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
ASV_10	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_11	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Parasutterella	
ASV_13	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	
ASV_15	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_14	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae		
ASV_16	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_18	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae		
ASV_17	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_20	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_19	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_21	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae		
ASV_22	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_24	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae		
ASV_23	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_25	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_26	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	
ASV_27	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_28	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Schaedlerella	
ASV_30	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae		
ASV_29	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae		
ASV_31	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Clostridium_IV	
ASV_32	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_33	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae		
ASV_34	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_35	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_36	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae		
ASV_38	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_37	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Enterocloster	
ASV_39	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	
ASV_41	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_40	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_42	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_43	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	
ASV_44	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_45	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Parasutterella	
ASV_46	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_47	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_48	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flintibacter	
ASV_49	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_50	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	
ASV_51	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	
ASV_52	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_54	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae		
ASV_53	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Enterocloster	
ASV_55	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_56	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_58	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_57	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	
ASV_59	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_60	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_62	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	
ASV_61	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacteraceae	Mucispirillum	
ASV_63	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae		
ASV_64	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_65	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_67	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_66	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia/Shigella	
ASV_68	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Clostridium_IV	
ASV_70	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_69	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_71	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	
ASV_72	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto	
ASV_73	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_74	Bacteria	Firmicutes	Clostridia				
ASV_75	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_77	Bacteria	Firmicutes					
ASV_76	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_78	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_79	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae		
ASV_81	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	
ASV_80	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_82	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	
ASV_83	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_84	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter	
ASV_85	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae		
ASV_86	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	
ASV_87	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_89	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_88	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_90	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_91	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_93	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae		
ASV_92	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_94	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_95	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_96	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	
ASV_97	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	
ASV_98	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_100	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_99	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
ASV_101	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_102	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_103	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	
ASV_104	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_105	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_106	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Clostridium_IV	
ASV_107	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_108	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_109	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
ASV_110	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae		
ASV_111	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_112	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Clostridium_XVIII	
ASV_114	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	
ASV_113	Bacteria	Firmicutes	Clostridia	Clostridiales			
ASV_115	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flintibacter	
ASV_116	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae_Sedis_XIII	Ihubacter	
ASV_117	Bacteria	Firmicutes	Clostridia	Clostridiales			
